GENE_SYMBOL,control,low_dose,high_dose
AU022252,9.157833333333334,9.0575,9.107
AU040320,9.008250000000002,8.898249999999999,8.832583333333334
AW112010,11.841833333333334,12.088333333333333,12.358500000000001
AW146020,6.61475,6.5030833333333335,6.582999999999999
AW146154,7.822833333333333,8.320666666666668,8.224666666666666
AW209491,9.416166666666667,9.286666666666667,9.300333333333334
AW495222,6.2156666666666665,6.218666666666667,6.2491666666666665
AW549877,9.387500000000001,9.415500000000002,9.299333333333335
AW554918,6.563500000000001,6.3725,6.436666666666667
AW555464,10.255833333333333,10.078333333333333,10.154333333333332
AY036118,12.910833333333334,12.738666666666667,12.899833333333333
AY074887,5.918,5.803166666666666,5.9105
AY761185,6.8628333333333345,6.623666666666666,6.8018333333333345
Aaas,8.384166666666667,8.205666666666666,8.216666666666667
Aacs,11.78433333333333,13.692,12.383333333333335
Aadac,15.223999999999998,15.223,15.0015
Aadat,13.042333333333334,12.800333333333333,12.964333333333336
Aagab,11.557333333333332,11.621333333333334,11.594166666666666
Aak1,6.732444444444444,6.788222222222221,6.754388888888889
Aamp,11.025916666666667,10.794083333333333,10.910833333333334
Aanat,6.1245,5.9955,6.1370000000000005
Aard,5.920166666666667,5.9835,5.867666666666666
Aars,9.226374999999999,9.304,9.210791666666667
Aars2,10.035666666666666,9.875000000000002,10.122166666666667
Aarsd1,9.861333333333333,9.890333333333333,9.945666666666666
Aasdh,8.607666666666667,8.535,8.574666666666667
Aasdhppt,9.864333333333333,9.781333333333334,9.657166666666667
Aass,13.509833333333333,13.188833333333335,13.469166666666666
Aatf,7.119916666666666,7.153666666666666,7.225833333333334
Aatk,7.778999999999999,7.540666666666667,7.861999999999999
Abat,12.816333333333333,12.667333333333334,13.032166666666669
Abca1,11.235166666666666,11.586666666666666,11.548166666666667
Abca2,8.555083333333334,8.476666666666667,8.689416666666666
Abca3,9.411,9.601111111111111,9.547555555555553
Abca5,6.835999999999999,6.727416666666666,6.742416666666666
Abca6,10.37675,10.228416666666666,10.27125
Abca7,9.421999999999999,9.416500000000001,9.491166666666667
Abca8a,11.668,11.173499999999999,11.082833333333333
Abca8b,7.9430000000000005,8.081166666666666,7.690749999999999
Abca9,6.074333333333333,6.1085,6.087333333333333
Abcb10,7.6770000000000005,7.503583333333332,7.541583333333333
Abcb11,14.615333333333332,14.451333333333332,14.614833333333332
Abcb1b,8.89175,8.059916666666666,8.472000000000001
Abcb4,12.22075,11.82475,12.09675
Abcb6,11.2615,11.150166666666669,11.139666666666665
Abcb7,7.8501666666666665,7.985833333333333,7.920416666666667
Abcb8,9.042666666666667,9.095333333333334,8.998
Abcb9,8.867833333333335,8.755999999999998,8.778
Abcc1,6.293833333333333,6.431416666666666,6.405333333333334
Abcc2,10.817,10.838,11.033999999999999
Abcc3,8.706666666666665,8.482083333333332,8.575583333333332
Abcc4,6.495,6.5385,6.494
Abcc5,6.27875,6.292083333333333,6.279916666666668
Abcc6,9.616666666666667,9.518666666666665,9.691833333333333
Abcc9,7.173166666666667,6.954555555555555,7.143444444444445
Abcd1,6.386333333333333,6.4365,6.371333333333333
Abcd2,6.197500000000001,5.816,5.8205
Abcd3,11.433666666666667,11.339611111111111,11.205166666666665
Abcd4,9.532166666666667,9.519166666666667,9.786166666666666
Abce1,8.554416666666667,8.885916666666667,8.66175
Abcf1,10.117583333333334,10.133583333333332,10.09425
Abcf2,9.442666666666666,9.568833333333332,9.4125
Abcf3,8.67275,8.664083333333334,8.711833333333333
Abcg1,8.133666666666667,8.0115,8.120666666666667
Abcg2,12.593916666666665,12.478833333333334,12.392249999999999
Abcg3,5.7044999999999995,5.666999999999999,5.782333333333334
Abcg5,12.998166666666668,13.0525,13.22
Abcg8,8.1765,8.019083333333333,8.056916666666666
Abhd1,11.427,11.2845,10.3105
Abhd10,6.863666666666667,6.908833333333334,6.974166666666666
Abhd11,10.856333333333334,10.7515,10.766833333333333
Abhd12,8.281666666666666,8.401666666666667,8.337833333333332
Abhd13,7.185888888888889,7.211444444444445,7.150611111111111
Abhd14a,6.519666666666666,6.4315,6.386166666666668
Abhd14b,11.4275,11.493666666666668,11.405999999999999
Abhd15,9.177249999999999,9.080250000000001,9.072416666666667
Abhd16a,9.969666666666667,9.861333333333333,9.938833333333333
Abhd2,6.9462777777777776,7.091777777777778,6.919777777777778
Abhd3,11.032833333333334,10.942166666666667,11.012166666666666
Abhd4,12.455999999999998,12.396,12.332500000000001
Abhd5,8.6215,9.106333333333334,8.519666666666668
Abhd6,9.021333333333335,8.727000000000002,8.722166666666666
Abhd8,6.9294166666666674,6.812666666666666,6.762833333333333
Abi1,8.709416666666668,8.679916666666665,8.630416666666667
Abi2,6.126750000000001,6.165583333333334,6.105666666666667
Abi3,7.421,7.470833333333334,7.78
Abi3bp,6.041666666666667,6.069500000000001,6.273333333333333
Abl1,6.979500000000001,7.0165,6.9440833333333325
Abl2,8.226833333333332,8.183666666666667,8.179166666666667
Ablim1,6.658033333333332,6.848866666666667,6.673066666666667
Ablim2,6.136416666666666,6.1803333333333335,6.327666666666666
Ablim3,9.203833333333334,9.086833333333333,9.133833333333333
Abr,6.342333333333333,6.394333333333333,6.413833333333333
Abt1,7.440666666666666,7.273722222222222,7.258500000000001
Abtb1,9.902833333333332,9.734333333333334,9.888666666666666
Abtb2,10.119166666666667,10.282833333333334,9.9955
Acaa1a,14.261055555555556,14.015722222222223,14.203277777777776
Acaa1b,14.887500000000001,14.385166666666668,14.7305
Acaa2,15.998833333333332,15.993666666666668,15.985166666666666
Acaca,6.976541666666667,7.884708333333333,7.1290000000000004
Acacb,9.636583333333332,10.296666666666667,9.61125
Acad10,9.931000000000001,9.517333333333333,9.806166666666666
Acad11,8.1645,7.933944444444443,8.055222222222222
Acad12,7.829166666666667,7.845666666666666,7.957333333333334
Acad8,9.015666666666666,8.82,8.9185
Acad9,8.016916666666667,8.170833333333334,8.128833333333333
Acadl,10.5375,10.207833333333332,10.3745
Acadm,14.093833333333336,13.870833333333332,13.899833333333335
Acads,11.553833333333335,11.571,11.523499999999999
Acadsb,10.290833333333333,10.298666666666668,10.266166666666667
Acadvl,15.544166666666664,15.354666666666668,15.306500000000002
Acan,6.188833333333334,6.409,6.248333333333334
Acap1,6.077333333333333,6.085166666666666,6.155
Acap2,8.256749999999998,8.129958333333333,8.135916666666667
Acap3,7.214333333333333,7.1961666666666675,7.260833333333333
Acat1,12.834999999999999,12.726166666666666,12.663166666666667
Acat2,14.165500000000002,13.6605,13.923166666666669
Acat3,13.864166666666664,13.509583333333333,13.756750000000002
Acbd3,8.79561111111111,8.940777777777777,8.793444444444445
Acbd4,12.9715,12.955166666666665,13.30516666666667
